sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
256,0.0,0.0,0.1,0.1,0.1,"[50, 10]",24,4e-05,6,1,5,1,0.5,0.5,0.5,0.6,5,0.005,0.8192,0.8176,0.8415,0.8406,0.5219,0.449,0.7386,0.7873,0.735
1024,0.0,0.2,0.1,0.0,0.0,"[30, 10]",24,3e-05,6,3,5,5,0.3,0.1,0.4,1.0,5,0.005,0.809,0.8093,0.8262,0.827,0.4913,0.4329,0.7783,0.7799,0.7757
1024,0.2,0.2,0.2,0.0,0.1,"[40, 8]",24,3e-05,6,3,3,1,0.5,0.3,0.5,0.6,5,0.005,0.8207,0.821,0.8369,0.8377,0.4752,0.4184,0.7876,0.778,0.7828
1024,0.1,0.1,0.2,0.1,0.0,"[40, 10]",16,5e-05,6,1,1,3,0.5,0.3,0.1,0.8,5,0.005,0.8134,0.8124,0.8338,0.8335,0.5175,0.4446,0.7342,0.7869,0.7336
256,0.2,0.2,0.1,0.0,0.1,"[40, 8]",24,5e-05,4,5,1,3,0.4,0.5,0.4,1.0,5,0.005,0.8207,0.8199,0.8415,0.8414,0.5029,0.4402,0.7557,0.7854,0.7516
1024,0.1,0.1,0.2,0.0,0.0,"[40, 5]",16,3e-05,4,5,5,3,0.2,0.2,0.1,0.8,5,0.005,0.828,0.8275,0.846,0.8461,0.5262,0.4577,0.7309,0.7883,0.7302
1024,0.2,0.1,0.0,0.2,0.1,"[30, 6]",24,5e-05,2,5,3,1,0.1,0.4,0.4,1.0,5,0.005,0.8309,0.8301,0.8506,0.8505,0.5204,0.4548,0.7539,0.7779,0.7493
1024,0.0,0.1,0.2,0.2,0.1,"[50, 10]",24,3e-05,2,5,1,1,0.3,0.4,0.5,0.8,5,0.005,0.8251,0.8245,0.843,0.8429,0.5335,0.4519,0.7376,0.7848,0.735
256,0.0,0.0,0.1,0.0,0.2,"[40, 10]",16,4e-05,6,5,3,5,0.5,0.3,0.2,1.0,5,0.005,0.8236,0.8237,0.8384,0.839,0.5175,0.4504,0.7487,0.7897,0.748
1024,0.2,0.2,0.1,0.2,0.2,"[40, 10]",16,3e-05,6,3,1,1,0.1,0.2,0.3,1.0,5,0.005,0.8222,0.8212,0.8445,0.8443,0.5233,0.4548,0.7554,0.7843,0.7548
256,0.0,0.1,0.1,0.2,0.2,"[30, 10]",16,4e-05,4,3,3,1,0.5,0.2,0.1,0.6,5,0.005,0.8265,0.826,0.8445,0.8446,0.5364,0.4665,0.7473,0.7822,0.7471
512,0.2,0.0,0.2,0.0,0.1,"[40, 10]",16,5e-05,6,5,3,5,0.2,0.2,0.3,0.8,5,0.005,0.8192,0.819,0.8369,0.8372,0.519,0.4475,0.7447,0.788,0.7442
256,0.1,0.0,0.1,0.0,0.0,"[50, 10]",24,4e-05,4,1,3,1,0.2,0.3,0.4,1.0,5,0.005,0.8047,0.8048,0.8155,0.8162,0.5058,0.4402,0.7524,0.7848,0.7497
512,0.0,0.2,0.0,0.2,0.2,"[30, 10]",16,3e-05,4,3,1,1,0.5,0.1,0.2,1.0,5,0.005,0.8149,0.8153,0.8277,0.8287,0.5146,0.4461,0.7699,0.7818,0.7694
256,0.0,0.0,0.0,0.2,0.0,"[36, 6]",16,5e-05,6,3,3,3,0.4,0.2,0.3,0.6,5,0.005,0.8265,0.8269,0.8384,0.8393,0.5262,0.4563,0.7507,0.7803,0.7501
512,0.1,0.0,0.2,0.1,0.2,"[30, 10]",24,5e-05,4,5,5,3,0.3,0.3,0.4,0.6,5,0.005,0.812,0.8123,0.8277,0.8286,0.5131,0.4344,0.7484,0.7874,0.7464
256,0.0,0.2,0.2,0.0,0.0,"[40, 5]",16,4e-05,6,3,3,1,0.3,0.2,0.2,0.8,5,0.005,0.8149,0.8148,0.8323,0.8329,0.5029,0.4431,0.7524,0.7815,0.7517
512,0.0,0.2,0.2,0.2,0.2,"[40, 10]",16,3e-05,6,5,1,3,0.4,0.5,0.2,0.6,5,0.005,0.8192,0.8182,0.8415,0.8412,0.5087,0.4446,0.7557,0.7819,0.755
256,0.1,0.1,0.1,0.1,0.2,"[32, 8]",24,5e-05,2,3,5,1,0.3,0.2,0.4,0.6,5,0.005,0.8265,0.8257,0.8445,0.8443,0.5175,0.4563,0.7392,0.7874,0.737
1024,0.2,0.2,0.2,0.2,0.1,"[40, 8]",24,5e-05,2,3,1,5,0.3,0.2,0.1,1.0,5,0.005,0.8236,0.8224,0.8445,0.844,0.5321,0.4577,0.7238,0.792,0.7206
512,0.2,0.1,0.0,0.1,0.2,"[36, 6]",24,5e-05,6,1,5,5,0.1,0.5,0.3,0.6,5,0.005,0.8163,0.8165,0.8293,0.8299,0.5131,0.4402,0.7452,0.7844,0.7412
512,0.2,0.1,0.1,0.0,0.0,"[30, 6]",24,3e-05,2,1,3,5,0.3,0.1,0.4,0.6,5,0.005,0.8192,0.8197,0.8308,0.8318,0.4431,0.3965,0.8184,0.7775,0.8146
512,0.1,0.0,0.1,0.2,0.1,"[40, 8]",24,4e-05,4,3,5,1,0.4,0.2,0.3,0.8,5,0.005,0.8294,0.8277,0.8521,0.8512,0.5321,0.4606,0.7193,0.7931,0.7167
512,0.0,0.1,0.2,0.0,0.1,"[50, 10]",16,3e-05,2,3,5,3,0.4,0.2,0.4,1.0,5,0.005,0.8163,0.8155,0.8384,0.8383,0.5058,0.4344,0.7439,0.7876,0.7434
512,0.2,0.0,0.1,0.0,0.1,"[50, 10]",16,4e-05,6,5,3,1,0.2,0.1,0.4,0.8,5,0.005,0.8265,0.8264,0.8384,0.8388,0.5408,0.4752,0.7255,0.787,0.7248
1024,0.1,0.1,0.2,0.2,0.2,"[40, 10]",16,3e-05,2,1,1,5,0.5,0.1,0.3,0.8,5,0.005,0.8236,0.8227,0.8445,0.8443,0.5102,0.4475,0.74,0.7831,0.7395
1024,0.0,0.2,0.2,0.2,0.1,"[36, 6]",16,4e-05,4,3,3,5,0.5,0.4,0.4,1.0,5,0.005,0.8163,0.8166,0.8277,0.8286,0.4942,0.4344,0.765,0.7968,0.7643
256,0.0,0.1,0.2,0.0,0.2,"[32, 8]",24,3e-05,4,3,5,1,0.4,0.5,0.5,1.0,5,0.005,0.8192,0.8182,0.843,0.8428,0.5262,0.4592,0.7398,0.7854,0.7357
256,0.1,0.1,0.1,0.2,0.2,"[36, 6]",24,5e-05,6,3,5,5,0.5,0.3,0.2,0.8,5,0.005,0.8076,0.8075,0.8247,0.8252,0.5058,0.4359,0.7774,0.7664,0.7754
256,0.1,0.0,0.1,0.2,0.1,"[40, 10]",24,4e-05,2,1,1,3,0.2,0.2,0.4,0.8,5,0.005,0.8265,0.8263,0.8445,0.8448,0.5219,0.4548,0.7377,0.7914,0.7355
1024,0.0,0.1,0.1,0.0,0.2,"[40, 8]",16,5e-05,2,3,1,5,0.2,0.4,0.2,1.0,5,0.005,0.809,0.8087,0.8216,0.8219,0.5262,0.4534,0.7454,0.7775,0.7451
256,0.2,0.2,0.1,0.2,0.0,"[30, 6]",16,4e-05,6,5,3,5,0.4,0.5,0.4,0.8,5,0.005,0.8222,0.8214,0.8415,0.8414,0.5306,0.4621,0.7465,0.7814,0.746
256,0.2,0.0,0.0,0.2,0.2,"[40, 5]",16,4e-05,4,5,1,1,0.4,0.4,0.1,0.8,5,0.005,0.8207,0.82,0.8399,0.8399,0.5262,0.4519,0.7337,0.78,0.7332
1024,0.1,0.1,0.0,0.0,0.0,"[30, 6]",24,5e-05,6,5,5,1,0.2,0.2,0.1,0.6,5,0.005,0.8105,0.8092,0.8323,0.8319,0.4956,0.4431,0.7683,0.7763,0.7641
512,0.2,0.1,0.1,0.1,0.1,"[30, 10]",24,3e-05,4,3,3,5,0.5,0.2,0.5,1.0,5,0.005,0.828,0.8276,0.8476,0.8478,0.5117,0.4388,0.7478,0.7868,0.7439
256,0.1,0.0,0.0,0.1,0.1,"[40, 5]",24,4e-05,2,3,5,5,0.5,0.5,0.5,1.0,5,0.005,0.8338,0.8337,0.8491,0.8494,0.5146,0.4519,0.7394,0.7938,0.7365
256,0.0,0.0,0.0,0.1,0.0,"[40, 10]",16,3e-05,2,1,5,5,0.3,0.3,0.5,1.0,5,0.005,0.8163,0.8159,0.8369,0.8371,0.5321,0.4592,0.7365,0.7882,0.7358
1024,0.1,0.0,0.1,0.0,0.2,"[36, 6]",24,4e-05,6,5,1,1,0.4,0.5,0.3,1.0,5,0.005,0.8192,0.8185,0.8354,0.8352,0.4781,0.4184,0.7594,0.7808,0.756
1024,0.2,0.2,0.0,0.0,0.2,"[40, 5]",16,5e-05,2,5,3,1,0.5,0.4,0.5,1.0,5,0.005,0.8265,0.8264,0.8445,0.845,0.5131,0.4373,0.7483,0.785,0.7477
512,0.2,0.2,0.2,0.1,0.1,"[50, 10]",24,3e-05,2,5,1,1,0.4,0.2,0.3,0.6,5,0.005,0.8149,0.8136,0.8369,0.8364,0.519,0.4475,0.7439,0.7896,0.7415
